ntraial move_ratio     potn
23112     0.4166  -3.948907

23220     0.4907  -3.847320

23328     0.5740  -3.861737

23436     0.5277  -3.858858

23544     0.5740  -3.924944

23652     0.5740  -3.965256

23760        0.5  -3.938700

23868     0.4444  -3.933967

23976     0.5185  -3.977117

24084     0.5185  -4.041580

24192     0.4444  -3.973499

24300     0.4722  -3.958218

24408     0.4722  -3.951878

24516     0.4537  -3.976034

24624     0.5740  -3.857853

24732     0.3888  -3.826914

24840     0.4444  -3.888680

24948     0.5370  -3.903149

25056     0.4814  -3.919890

25164     0.4166  -3.930148

25272     0.5185  -3.960481

25380     0.5370  -3.886716

25488     0.5462  -3.854194

25596     0.5370  -3.811662

25704     0.4907  -3.849473

25812     0.5185  -3.945467

25920     0.5740  -3.929224

26028     0.4722  -3.897657

26136     0.5092  -3.859888

26244     0.5277  -3.811731

26352     0.4907  -3.906624

26460        0.5  -3.930044

26568     0.4722  -3.879394

26676     0.5462  -3.792077

26784     0.4444  -3.835227

26892     0.5370  -3.882327

27000     0.5277  -3.837516

27108     0.5648  -3.847237

27216     0.4814  -3.874680

27324        0.5  -3.749575

27432     0.5555  -3.831262

27540     0.5462  -3.692119

27648     0.4907  -3.781129

27756     0.5092  -3.867874

27864     0.5555  -3.805929

27972     0.5740  -3.778127

28080     0.4907  -3.843437

28188     0.4351  -3.836041

28296     0.5555  -3.854282

28404     0.4444  -3.942938

28512     0.5462  -3.930079

28620     0.4722  -3.980992

28728     0.4351  -3.963129

28836     0.4444  -3.962768

28944     0.4537  -3.923648

29052     0.5370  -3.908315

29160     0.5277  -3.838835

29268     0.5277  -3.832220

29376     0.4166  -3.882125

29484     0.5648  -3.845545

29592     0.5185  -3.824713

29700        0.5  -3.819848

29808     0.5277  -3.845959

29916     0.4629  -3.781552

30024     0.5555  -3.901016

30132     0.4351  -3.910246

30240     0.4814  -3.935836

30348     0.5648  -3.914366

30456     0.5185  -3.932268

30564     0.5092  -3.899191

30672     0.4722  -3.891844

30780        0.5  -3.877206

30888     0.4814  -3.926861

30996     0.4444  -3.868645

31104     0.5462  -3.883457

31212        0.5  -3.841761

31320     0.5462  -3.842437

31428        0.5  -3.845071

31536     0.5370  -3.849834

31644     0.5277  -3.853339

31752     0.5185  -3.914057

31860     0.5462  -3.915890

31968     0.4166  -3.937493

32076     0.5185  -3.957401

32184     0.6296  -3.887323

32292     0.5185  -3.824913

32400     0.4629  -3.913218

32508     0.5833  -3.831392

32616     0.4444  -3.865567

32724     0.5648  -3.807732

32832     0.5740  -3.883498

32940     0.5555  -3.863132

33048     0.3981  -3.854279

33156     0.4166  -3.787677

33264     0.5740  -3.889376

33372     0.4907  -3.865429

33480     0.5185  -3.858176

33588     0.4814  -3.837924

33696     0.5185  -3.819290

33804     0.4814  -3.753230

33912     0.5370  -3.821717

34020     0.5185  -3.801930

34128     0.4444  -3.795791

34236     0.5648  -3.865277

34344     0.4722  -3.859547

34452     0.4907  -3.922821

34560     0.5092  -3.880893

34668     0.4907  -3.919954

34776     0.4444  -3.890322

34884     0.4166  -3.786815

34992     0.5092  -3.831964

35100     0.4629  -3.879520

35208     0.5370  -3.874792

35316     0.4629  -3.852213

35424     0.5925  -3.933321

35532     0.4259  -3.958372

35640     0.4907  -4.010288

35748     0.5092  -3.984958

35856     0.5185  -3.945354

35964     0.5370  -3.932704

36072     0.5740  -4.005897

36180     0.3888  -4.011129

36288     0.5185  -3.949617

36396     0.4722  -3.968378

36504     0.6296  -4.001653

36612     0.4444  -3.958833

36720     0.5370  -3.892061

36828     0.5185  -3.921177

36936     0.4351  -3.912396

37044     0.5648  -3.893160

37152     0.4814  -3.880127

37260     0.4629  -3.840028

37368     0.5833  -3.802178

37476     0.5092  -3.836878

37584     0.5092  -3.890287

37692     0.5648  -3.868026

37800     0.4722  -3.770456

37908     0.4722  -3.844038

38016     0.4629  -3.806429

38124     0.5833  -3.766635

38232     0.4907  -3.807180

38340     0.5370  -3.747854

38448     0.4722  -3.832130

38556        0.5  -3.752068

38664     0.4907  -3.761272

38772        0.5  -3.729169

38880     0.4722  -3.776914

38988        0.5  -3.738533

39096     0.4722  -3.762211

39204     0.4444  -3.852666

39312     0.4444  -3.852912

39420        0.5  -3.895377

39528     0.5740  -3.865871

39636     0.4722  -3.759494

39744     0.5370  -3.767123

39852     0.5277  -3.768329

39960     0.5092  -3.762090

40068     0.5092  -3.763133

40176     0.4814  -3.805434

40284     0.4814  -3.864075

40392     0.4537  -3.755798

40500     0.4814  -3.825542

40608     0.4907  -3.852982

40716     0.4259  -3.802878

40824     0.4907  -3.745154

40932     0.5185  -3.805780

41040     0.5277  -3.807967

41148     0.5185  -3.791831

41256     0.4259  -3.855538

41364     0.5277  -3.823000

41472        0.5  -3.783165

41580     0.4351  -3.786236

41688     0.5462  -3.821930

41796     0.4444  -3.815458

41904        0.5  -3.870201

42012     0.5925  -3.823665

42120     0.5370  -3.816557

42228     0.5277  -3.839672

42336     0.4537  -3.832155

42444     0.5925  -3.869620

42552     0.5277  -3.876819

42660     0.4814  -3.813679

42768     0.4907  -3.748589

42876     0.5740  -3.782779

42984     0.4814  -3.782383

43092     0.4907  -3.925319

43200     0.4444  -3.927808

43308     0.4629  -3.918965

43416     0.4907  -3.899192

43524     0.4722  -3.866755

43632     0.4907  -3.929299

43740     0.5277  -3.978882

43848     0.5925  -3.854667

43956     0.5092  -3.807023

44064     0.4259  -3.776477

44172     0.4814  -3.764926

44280     0.5092  -3.766059

44388     0.5648  -3.802875

44496        0.5  -3.887134

44604     0.4537  -3.845494

44712     0.5277  -3.816665

44820     0.5648  -3.867157

44928     0.4351  -3.911175

45036     0.5092  -3.923111

45144     0.4351  -3.873775

45252     0.5648  -3.940217

45360     0.5740  -3.935152

45468     0.5740  -3.864581

45576     0.5277  -3.873554

45684     0.4722  -3.862892

45792     0.4259  -3.924488

45900     0.4629  -3.883169

46008        0.5  -3.885276

46116     0.4814  -3.841232

46224     0.5185  -3.828741

46332     0.4814  -3.839043

46440     0.5092  -3.829456

46548     0.4629  -3.671524

46656     0.4814  -3.668712

46764     0.4722  -3.776329

46872     0.4074  -3.704299

46980     0.5092  -3.769201

47088     0.4537  -3.813096

47196     0.4907  -3.756426

47304     0.4814  -3.771225

47412     0.4074  -3.786941

47520     0.4907  -3.817900

47628     0.5370  -3.845019

47736     0.5092  -3.805645

47844     0.5648  -3.745569

47952     0.5277  -3.790883

48060     0.4629  -3.805369

48168     0.4166  -3.752195

48276     0.5092  -3.816484

48384     0.4351  -3.836475

48492     0.4166  -3.903569

48600     0.5277  -3.953809

48708     0.5462  -3.940004

48816     0.5370  -3.815648

48924     0.5277  -3.758050

49032     0.5462  -3.777869

49140     0.5555  -3.713708

49248     0.4722  -3.814720

49356     0.4814  -3.924074

49464     0.5092  -3.921044

49572     0.5462  -3.978296

49680     0.4722  -3.928013

49788     0.5462  -3.952659

49896     0.5555  -3.918802

50004     0.5277  -3.868353

50112     0.5370  -3.841776

50220     0.5092  -3.882815

50328     0.5277  -3.885863

50436     0.5740  -3.943118

50544     0.5833  -3.912780

50652     0.4074  -3.908374

50760     0.4907  -4.027922

50868     0.4722  -3.954560

50976     0.5462  -3.872096

51084     0.5462  -3.908271

51192     0.5740  -3.868992

51300     0.4907  -3.862305

51408     0.5370  -3.835284

51516     0.4537  -3.889482

51624     0.5092  -3.933661

51732     0.5092  -3.951737

51840     0.5185  -3.823156

51948        0.5  -3.810822

52056     0.4629  -3.880231

52164     0.5648  -3.771030

52272     0.4166  -3.769438

52380     0.4629  -3.803630

52488     0.5648  -3.860897

52596     0.4166  -3.809896

52704     0.5185  -3.834365

52812     0.4444  -3.890165

52920     0.4629  -3.835949

53028     0.4907  -3.780206

53136     0.5185  -3.752497

53244     0.4166  -3.830946

53352     0.4814  -3.885940

53460     0.5092  -3.905085

53568     0.5185  -3.924820

53676     0.5833  -3.966383

53784     0.4537  -3.908103

53892     0.4814  -3.923244

54000     0.4814  -3.923226

54108     0.5833  -3.822930

54216        0.5  -3.784747

54324     0.4722  -3.886002

54432     0.5833  -3.870512

54540        0.5  -3.955095

54648     0.3796  -4.037499

54756     0.5277  -3.941354

54864     0.4537  -3.984136

54972     0.5370  -3.959026

55080     0.5185  -3.997090

55188     0.5185  -3.940665

55296     0.5462  -3.959323

55404     0.5925  -3.931848

55512     0.5185  -3.864862

55620     0.4907  -3.811276

55728     0.4444  -3.869706

55836     0.5185  -3.921089

55944     0.5185  -3.896959

56052     0.5277  -3.864504

56160     0.5555  -3.895199

56268     0.4629  -3.861173

56376     0.5185  -3.901715

56484     0.4814  -3.932689

56592     0.4537  -3.882993

56700     0.4814  -3.976662

56808     0.4722  -3.968392

56916     0.4629  -3.914980

57024     0.4814  -3.860550

57132     0.4814  -3.925741

57240     0.4814  -3.927604

57348     0.5092  -3.914996

