ntraial move_ratio     potn

98820     0.4814  -3.890258

98928     0.4814  -3.883208

99036     0.4814  -3.749394

99144     0.5740  -3.736285

99252     0.4629  -3.780546

99360     0.4907  -3.854896

99468     0.4351  -3.852481

99576     0.4907  -3.884924

99684     0.4166  -3.831834

99792     0.5185  -3.806795

99900     0.4537  -3.770171

100008     0.5833  -3.821002

100116     0.4629  -3.854091

100224        0.5  -3.888607

100332     0.4907  -3.935396

100440        0.5  -3.914370

100548     0.4629  -3.933260

100656     0.4722  -3.884241

100764        0.5  -3.905719

100872     0.5555  -3.879792

100980     0.5925  -3.867358

101088     0.4444  -3.970249

101196     0.5092  -3.884500

101304     0.5092  -3.794276

101412     0.4722  -3.797497

101520     0.5462  -3.831796

101628     0.4351  -3.876270

101736     0.4907  -3.894843

101844     0.5740  -3.918025

101952     0.4074  -3.988024

102060     0.5370  -3.960443

102168        0.5  -4.029971

102276     0.4907  -4.013185

102384     0.4629  -4.014130

102492     0.4907  -4.039255

102600     0.4629  -3.988087

102708     0.4907  -3.997035

102816     0.5092  -3.994711

102924     0.4722  -3.972339

103032     0.4722  -3.902451

103140     0.5462  -3.963027

103248     0.5555  -3.948922

103356     0.4814  -3.948755

103464     0.3981  -3.991655

103572     0.5833  -3.917030

103680     0.5277  -3.932350

103788     0.4259  -3.928428

103896     0.5092  -3.867012

104004     0.4722  -3.851889

104112        0.5  -3.880974

104220        0.5  -3.888915

104328     0.5185  -3.764896

104436     0.4259  -3.781542

104544     0.4814  -3.820696

104652     0.4537  -3.902216

104760     0.5185  -3.925126

104868     0.5092  -3.910986

104976     0.4722  -3.868614

105084     0.4907  -3.904695

105192     0.5185  -3.888887

105300     0.4907  -3.831846

105408     0.5185  -3.889798

105516     0.4907  -3.909197

105624     0.5462  -3.839132

105732     0.5462  -3.937217

105840     0.5185  -3.908429

105948     0.5740  -3.890629

106056     0.5092  -4.008575

106164     0.4351  -3.941410

106272     0.3981  -3.922561

106380     0.5277  -3.924980

106488     0.5185  -3.935214

106596     0.4722  -3.859085

106704     0.4444  -3.822390

106812     0.5092  -3.886678

106920     0.5555  -3.973975

107028     0.5092  -4.005962

107136     0.5277  -3.969663

107244     0.5370  -3.983342

